"stat_name","beta_v2024","beta_v2025","delta","abs_delta"
"intercepts",6.7679529371266,2.53698367904269,-4.2309692580839,4.2309692580839
"def_half_pressure_acts",-4.51852865003518,-1.70461642239204,2.81391222764314,2.81391222764314
"score_involvements",4.95312179082164,3.0420890123271,-1.91103277849453,1.91103277849453
"behinds",0,1.85859661054786,1.85859661054786,1.85859661054786
"uncontested_possessions",2.27901486870374,0.517151937197514,-1.76186293150623,1.76186293150623
"metres_gained",0,1.75621593935114,1.75621593935114,1.75621593935114
"marks_inside50",0.182900562158022,1.86454775654628,1.68164719438826,1.68164719438826
"goal_assists",0,1.57897452281699,1.57897452281699,1.57897452281699
"kick_efficiency",0.530412595813538,2.04000731050668,1.50959471469314,1.50959471469314
"shots_at_goal",4.31066449845779,2.91056622468662,-1.40009827377117,1.40009827377117
"marks_on_lead",0,-1.27932824509058,-1.27932824509058,1.27932824509058
"f50_ground_ball_gets",0.752712060098005,2.02540724334575,1.27269518324775,1.27269518324775
"tackles",1.27405330050362,2.46665117492969,1.19259787442607,1.19259787442607
"spoils",0.34003683882423,1.47842627762236,1.13838943879813,1.13838943879813
"one_percenters",1.17842014536731,2.29945650711508,1.12103636174777,1.12103636174777
"contested_possessions",0,1.10016570883857,1.10016570883857,1.10016570883857
"intercept_marks",1.17283182864876,2.2579463378821,1.08511450923334,1.08511450923334
"inside50s",1.12522873256263,2.09425277836211,0.96902404579948,0.96902404579948
"effective_kicks",0.289381524624954,1.24347683407769,0.954095309452736,0.954095309452736
"turnovers",0,-0.871615540980027,-0.871615540980027,0.871615540980027
"kicks",0,0.823264824661716,0.823264824661716,0.823264824661716
"stoppage_clearances",1.47011944858103,0.668278590033731,-0.801840858547303,0.801840858547303
"contest_off_one_on_ones",-0.00331217487827835,-0.734653007425936,-0.731340832547658,0.731340832547658
"hitout_win_pct",0,-0.718228181322574,-0.718228181322574,0.718228181322574
"clangers",0,-0.717942573666399,-0.717942573666399,0.717942573666399
"hitouts",0,0.63987648330615,0.63987648330615,0.63987648330615
"goals",3.16651004009978,2.55177513475377,-0.61473490534601,0.61473490534601
"contested_marks",0,0.601395328494953,0.601395328494953,0.601395328494953
"frees_against",0,-0.527581486858307,-0.527581486858307,0.527581486858307
"tackles_inside50",0.421191886650437,0.947724331660539,0.526532445010102,0.526532445010102
"marks",0,0.516864841773328,0.516864841773328,0.516864841773328
"disposal_efficiency",0,0.496038223210168,0.496038223210168,0.496038223210168
"pressure_acts",0,-0.46196986367823,-0.46196986367823,0.46196986367823
"disposals",0,0.455897438401792,0.455897438401792,0.455897438401792
"centre_clearances",-1.55172155398858,-1.22630354241287,0.325418011575702,0.325418011575702
"contested_poss_rate",0,-0.308348447442952,-0.308348447442952,0.308348447442952
"hitouts_to_advantage",0,-0.257574121840069,-0.257574121840069,0.257574121840069
"contest_off_wins",0,0.254373609861208,0.254373609861208,0.254373609861208
"effective_disposals",0.372823188603185,0.573705931687267,0.200882743084082,0.200882743084082
"handballs",0,0.155379856527993,0.155379856527993,0.155379856527993
"frees_for",0,-0.142519431572816,-0.142519431572816,0.142519431572816
"score_launches",2.4762267975506,2.345019129315,-0.131207668235604,0.131207668235604
"rebound50s",0,-0.127038993209107,-0.127038993209107,0.127038993209107
"clearances",0,0.0679974798488072,0.0679974798488072,0.0679974798488072
"contest_def_losses",0,-0.0637690505215506,-0.0637690505215506,0.0637690505215506
"ground_ball_gets",1.78844057917801,1.7261671678303,-0.0622734113477119,0.0622734113477119
"contest_def_one_on_ones",0,0.0253435933357919,0.0253435933357919,0.0253435933357919
"goal_accuracy",0,0.00343054148850255,0.00343054148850255,0.00343054148850255
