"Variant","bucket","n","mean_abs_pred","mean_abs_actual","mae","slope"
"Baseline","0-6",27,3.46,24.96,25.19,-0.405
"Baseline","6-12",17,8.44,25.24,23.82,1.009
"Baseline","12-24",41,17.43,27.37,26.65,0.972
"Baseline","24+",68,39.15,36.9,26.57,0.821
"V4a","0-6",26,3.48,23.42,23.49,0.366
"V4a","6-12",23,8.39,28.26,25.91,1.538
"V4a","12-24",39,18.29,27.26,26.61,0.938
"V4a","24+",65,39.56,37.11,26.89,0.823
"V4b","0-6",26,3.74,26.23,26.51,-0.729
"V4b","6-12",21,9.07,22.67,19.63,1.216
"V4b","12-24",37,18.41,28.54,28.39,0.944
"V4b","24+",69,38.61,36.52,26.12,0.824
"V4c","0-6",27,3.09,27.67,26.92,1.648
"V4c","6-12",26,8.62,20.08,19.74,0.454
"V4c","12-24",36,18.29,32.22,29.71,1.273
"V4c","24+",64,38.3,36.02,25.85,0.818
