"group","variant","slope_all","slope_q4close","se_q4close","n_q4close","logloss","brier","n_train","optimal_nrounds","cv_logloss","elapsed_min","monotone_constraints","notes"
"baseline","baseline",1.1897,1.5542,0.1721,288,0.429697,0.142068,1397409,288,0.468418,2.66,"(0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0)",""
"S1","S1_leverage_binary_k1",1.1937,1.5546,0.1722,288,0.429591,0.142005,1397409,280,0.474582,2.65,"(0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0)","weight = 1 + 1*is_q4close"
"S1","S1_leverage_binary_k3",1.2089,1.5622,0.1729,288,0.429716,0.141981,1397409,245,0.484963,2.56,"(0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0)","weight = 1 + 3*is_q4close"
"S1","S1_leverage_binary_k7",1.2181,1.5404,0.1707,288,0.42976,0.14192,1397409,229,0.499985,1.68,"(0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0)","weight = 1 + 7*is_q4close"
"S1","S1_leverage_continuous_k3",1.1931,1.5815,0.1746,288,0.429779,0.142098,1397409,284,0.399982,2.34,"(0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0)","weight = 1 + 3*|score_urgency| normalized to [0,1] via p99 cap (continuous form, bonus)"
"S2","S2_drop_constraints",1.2043,1.6272,0.1827,288,0.429951,0.14207,1397409,228,0.469497,2.01,"(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)","all 5 monotone constraints dropped (unconstrained)"
"S3","S3_decisiveness_features",1.2016,1.5977,0.1754,288,0.430212,0.142182,1397409,243,0.468557,2.52,"(0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1)","pace_rows_per_min=20.672; features: margin_per_remaining_poss, insurmountable, points_diff_time_scaled"
"S4","S4_recency_hl1",1.2167,1.6576,0.1796,288,0.430508,0.142198,1397409,251,0.472427,2.35,"(0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0)","half-life = 1 season(s), anchored at max training season"
"S4","S4_recency_hl2",1.203,1.6154,0.1769,288,0.430068,0.142158,1397409,266,0.469822,2.19,"(0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0)","half-life = 2 season(s), anchored at max training season"
"S4","S4_recency_hl4",1.2,1.5872,0.1743,288,0.429894,0.142121,1397409,265,0.468944,1.88,"(0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0)","half-life = 4 season(s), anchored at max training season"
"S5","S5_exclude_draws",1.1807,1.5413,0.1705,288,0.429383,0.141986,1382492,270,0.464148,1.65,"(0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0)","draw-labeled (0.5) rows dropped from training entirely"
"S5","S5_downweight_draws_0.5",1.1843,1.5499,0.1715,288,0.429522,0.142031,1397409,283,0.466639,1.77,"(0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0)","draw-labeled (0.5) rows kept but down-weighted to 0.5"
